Location,Name,Frequency,Duplex,Offset,Tone,rToneFreq,cToneFreq,DtcsCode,DtcsPolarity,Mode,TStep,Comment
1,KC7NP,425.42500,split,,,88.5,88.5,23,NN,DIG,5,"Moreno Valley",
2,W6IOS,430.30000,+,5.00000,,88.5,88.5,023,NN,FM,5,"San Jose",
3,KI6PNB,440.00000,+,5.00000,Tone,100.0,88.5,023,NN,FM,5,"Chico",
4,WA6FSP,440.00000,+,5.00000,Tone,110.9,88.5,023,NN,FM,5,"Fremont",
5,N6VRC,440.00250,+,5.00000,Tone,141.3,88.5,023,NN,FM,5,"Fresno",
6,W6PE,440.01250,+,5.00000,,88.5,88.5,23,NN,DIG,5,"Sonoma",
7,KI6KGN,440.02500,+,5.00000,Tone,167.9,88.5,023,NN,FM,5,"Fremont",
8,N6TZE,440.02500,+,5.00000,Tone,114.8,88.5,023,NN,FM,5,"Pacifica",
9,WA6RQZ,440.02500,+,5.00000,Tone,141.3,88.5,023,NN,FM,5,"Ukiah",
10,WV6F,440.02500,+,5.00000,Tone,127.3,88.5,023,NN,FM,5,"Vacaville",
11,W6YYY,440.03750,+,5.00000,,88.5,88.5,23,NN,DIG,5,"Morgan Hill, Loma Prieta",
12,KQ6YG,440.05000,+,5.00000,Tone,156.7,88.5,023,NN,FM,5,"Hayward",
13,W6CO,440.05000,+,5.00000,Tone,127.3,88.5,23,NN,DV,5,"Napa, Mt St Helena",
14,NA0SA,440.05000,+,5.00000,,88.5,88.5,023,NN,FM,5,"Redding",
15,WX6D,440.06250,+,5.00000,,88.5,88.5,23,NN,DIG,5,"Clovis",
16,KE6YJC,440.06250,+,5.00000,,88.5,88.5,23,NN,DIG,5,"Fresno",
17,K6LO,440.07500,+,5.00000,,88.5,88.5,23,NN,DIG,5,"Angwin",
18,KR6WP,440.07500,+,5.00000,Tone,114.8,114.8,023,NN,FM,5,"Belmont",
19,KE6DXF,440.07500,+,5.00000,Tone,131.8,88.5,023,NN,FM,5,"Stockton",
20,WA6RQX,440.07500,+,5.00000,,88.5,88.5,023,NN,FM,5,"Willits",
21,KO6CW,440.10000,+,5.00000,Tone,151.4,88.5,023,NN,FM,5,"Grass Valley",
22,WA6DQP,440.10000,+,5.00000,Tone,114.8,88.5,023,NN,FM,5,"La Honda",
23,N5TEN,440.10000,+,5.00000,,88.5,88.5,023,NN,FM,5,"Loyalton",
24,KJ6BDK,440.10000,+,5.00000,Tone,100.0,88.5,023,NN,FM,5,"McKinleyville",
25,K6LO,440.10000,+,5.00000,,88.5,88.5,23,NN,DIG,5,"Saint Helena, Deer Park",
26,W6SMQ,440.10000,+,5.00000,Tone,127.3,88.5,023,NN,FM,5,"San Jose",
27,W6WPT,440.10000,+,5.00000,Tone,100.0,100.0,023,NN,Auto,5,"West Point, California",
28,N6RDE,440.12500,+,5.00000,,88.5,88.5,023,NN,FM,5,"Cameron Park",
29,K6CHG,440.12500,+,5.00000,,88.5,88.5,23,NN,DIG,5,"Cazadero",
30,W6AMT,440.12500,+,5.00000,,88.5,88.5,23,NN,DIG,5,"Cupertino",
31,W6TCP,440.12500,+,5.00000,,88.5,88.5,23,NN,DIG,5,"Mt Allison, California",
32,KF6FGL,440.12500,+,5.00000,Tone,110.9,110.9,023,NN,FM,5,"Meadow Lakes, Fresno",
33,WA6VPL,440.12500,+,5.00000,Tone,91.5,88.5,023,NN,FM,5,"Santa Maria",
34,NN6J,440.13750,+,5.00000,,88.5,88.5,23,NN,DIG,5,"Hopland, Sanel Mountain",
35,K6PIT,440.13750,+,5.00000,,88.5,88.5,23,NN,DIG,5,"Pittsburg",
36,W6TDM,440.15000,+,5.00000,Tone,100.0,88.5,023,NN,FM,5,"Cupertino",
37,W6OF,440.15000,+,5.00000,,88.5,88.5,023,NN,FM,5,"Zamora",
38,K6GOD,440.17500,+,5.00000,Tone,131.8,88.5,023,NN,FM,5,"Berkeley",
39,K6GOD,440.17500,+,5.00000,Tone,131.8,131.8,023,NN,FM,5,"Fremont, Mission Peak",
40,NA0SA,440.17500,+,5.00000,,88.5,88.5,023,NN,FM,5,"Redding",
41,W6BXN,440.18750,+,5.00000,,88.5,88.5,23,NN,DIG,5,"Modesto, Mt Oso",
42,K6ACR,440.18750,+,5.00000,,88.5,88.5,23,NN,DIG,5,"San Luis Obispo, Tassajera Peak",
43,N6BDE,440.20000,+,5.00000,Tone,123.0,88.5,023,NN,FM,5,"Palo Alto",
44,KU6P,440.20000,+,5.00000,Tone,131.8,88.5,023,NN,FM,5,"Sacramento",
45,KD6CJQ,440.20000,+,5.00000,Tone,88.5,88.5,023,NN,FM,5,"Santa Rosa",
46,K6LNK,440.21250,+,5.00000,,88.5,88.5,23,NN,DIG,5,"Walnut Creek",
47,WD6EJF,440.22500,+,5.00000,Tone,136.5,88.5,023,NN,FM,5,"Modesto, Mt Oso",
48,K6LLC,440.22500,+,5.00000,Tone,123.0,88.5,023,NN,FM,5,"San Jose",
49,WO6P,440.22500,+,5.00000,Tone,100.0,88.5,023,NN,FM,5,"Shingletown",
50,N6GVI,440.25000,+,5.00000,,88.5,88.5,023,NN,FM,5,"Novato",
51,AB6MJ,440.25000,+,5.00000,Tone,186.2,186.2,023,NN,FM,5,"Porterville",
52,N6QGZ,440.27500,+,5.00000,Tone,118.8,118.8,023,NN,FM,5,"Mt Shasta City, Gray Butte",
53,WA6YOP,440.27500,+,5.00000,Tone,127.3,127.3,023,NN,FM,5,"San Jose",
54,K1BMW,440.27500,+,5.00000,Tone,114.8,114.8,023,NN,FM,5,"Tahoe City",
55,N6AMG,440.30000,+,5.00000,,88.5,88.5,023,NN,FM,5,"Mt Diablo",
56,W6BXN,440.30000,+,5.00000,Tone,94.8,88.5,023,NN,FM,5,"Grant Cove, Buck Rock",
57,K6CHG,440.32500,+,5.00000,,88.5,88.5,23,NN,DIG,5,"Bodega Bay",
58,WB6FRM,440.32500,+,5.00000,Tone,127.3,127.3,023,NN,FM,5,"Concord",
59,N0ASA,440.32500,+,5.00000,Tone,100.0,88.5,023,NN,FM,5,"Lakehead",
