Location,Name,Frequency,Duplex,Offset,Tone,rToneFreq,cToneFreq,DtcsCode,DtcsPolarity,Mode,TStep,Comment
1,WA6PPS,144.50500,+,0.60000,Tone,162.2,162.2,023,NN,FM,5,"Beverly Hills,  Hollywood Hills",
2,W6COH,144.50500,+,0.60000,Tone,100.0,88.5,023,NN,FM,5,"Hemet, Simpson Park",
3,WF6OCS,144.50500,+,0.60000,Tone,107.2,88.5,023,NN,FM,5,"Oceanside",
4,N6CYP,144.89500,+,0.60000,,88.5,88.5,23,NN,DV,5,"Cypress",
5,W6CDW,144.89500,+,0.60000,Tone,156.7,156.7,023,NN,FM,5,"Lake Elsinore",
6,KF6ZTY,144.89500,+,0.60000,Tone,186.2,88.5,023,NN,FM,5,"Rancho Palos Verdes, Palos Verdes ",
7,W6SUV,144.89500,-,0.60000,,88.5,88.5,023,NN,FM,5,"South Lake Tahoe",
8,KD6QLT,144.93000,split,,Tone,107.2,88.5,023,NN,FM,5,"Palm Springs",
9,W6BXN,144.93750,split,,,88.5,88.5,23,NN,DIG,5,"Mariposa, Mt Bullion",
10,N6UTX,144.93750,split,,,88.5,88.5,23,NN,DIG,5,"Winters",
11,W6UUU,144.95000,split,,,88.5,88.5,23,NN,DIG,5,"Oakland",
12,KA6NCR,144.95000,split,,Tone,141.3,88.5,023,NN,FM,5,"San Dimas, Johnstone Peak",
13,W6GLN,144.95000,split,,Tone,141.3,88.5,023,NN,FM,5,"San Dimas, Johnstone Peak",
14,N6VQL,144.95000,split,,,88.5,88.5,023,NN,FM,5,"Visalia",
15,W6GRC,144.96250,split,,,88.5,88.5,23,NN,DIG,5,"Orland",
16,W6OTX,144.96250,split,,,88.5,88.5,23,NN,DIG,5,"San Jose",
17,KJ6NRO,144.96250,split,,,88.5,88.5,23,NN,DIG,5,"Sonora",
18,K6MDD,144.97500,split,,,88.5,88.5,23,NN,DIG,5,"Mt Diablo",
19,K6LNK,144.98750,+,0.60000,,88.5,88.5,23,NN,DIG,5,"Davis",
20,W6TCP,144.98750,split,,,88.5,88.5,23,NN,DIG,5,"Fremont, Mt Allison",
21,W6CX,145.00000,split,,,88.5,88.5,23,NN,DV,5,"Mt Diablo",
22,W6GRC,145.00000,split,,,88.5,88.5,23,NN,DIG,5,"Lakehead",
23,K6DRI,145.00000,split,,,88.5,88.5,23,NN,DV,5,"Santa Cruz",
24,W6JMP,145.01250,split,,,88.5,88.5,23,NN,DIG,5,"El Dorado Hills",
25,AH6KD,145.01250,split,,,88.5,88.5,23,NN,DIG,5,"San Bruno",
26,K6VIS,145.01250,split,,,88.5,88.5,23,NN,DV,5,"Visalia",
27,K6ACS,145.04000,-,0.60000,,88.5,88.5,23,NN,DV,5,"Santa Rosa",
28,KE6OBO,145.11000,-,0.60000,Tone,103.5,88.5,023,NN,FM,5,"Elk Grove",
29,N6CVC,145.11000,-,0.60000,Tone,100.0,88.5,023,NN,FM,5,"Hanford, Hospital",
30,W6KRK,145.11000,-,0.60000,Tone,94.8,94.8,023,NN,FM,5,"Hollister",
31,K6SDD,145.11000,-,0.60000,Tone,85.4,88.5,023,NN,FM,5,"Lewiston",
32,WD6EJF,145.11000,-,0.60000,Tone,136.5,88.5,023,NN,FM,5,"Modesto, Double Tree Hotel",
33,KE6CHO,145.11000,-,0.60000,Tone,94.8,114.8,023,NN,FM,5,"Redding",
34,WA6KQB,145.11000,-,0.60000,Tone,82.5,88.5,023,NN,FM,5,"San Pablo",
35,W6HDC,145.12000,-,0.60000,Tone,123.0,88.5,023,NN,FM,5,"La Presa, Mount Laguna",
36,WA6VPL,145.12000,-,0.60000,Tone,100.0,88.5,023,NN,FM,5,"Lompoc, Gravel Peak",
37,WA6VPL,145.12000,-,0.60000,Tone,100.0,100.0,023,NN,FM,5,"Lompoc, Gravel Peak",
38,K6KTA,145.12000,-,0.60000,Tone,107.2,107.2,023,NN,FM,5,"Mt Laguna, Stephenson Pk",
39,K6SBC,145.12000,-,0.60000,Tone,156.7,88.5,023,NN,FM,5,"Onyx, Onyx Peak",
40,WA6ISG,145.12000,-,0.60000,Tone,131.8,88.5,023,NN,FM,5,"Running Springs",
41,KC6PXL,145.12000,-,0.60000,Tone,103.5,88.5,023,NN,FM,5,"Sylmar, Contractors Point",
42,WB6CDF,145.12000,-,0.60000,,88.5,156.7,023,NN,FM,5,"Yucca Valley, Yucca Mesa",
43,AK6OK,145.13000,-,0.60000,Tone,114.8,88.5,023,NN,FM,5,"Auburn",
44,WB6HEV,145.13000,-,0.60000,Tone,162.2,88.5,023,NN,FM,5,"Fair Oaks",
45,K6EAG,145.13000,-,0.60000,Tone,127.3,88.5,023,NN,FM,5,"Hayward",
46,W6HHD,145.13000,-,0.60000,,88.5,88.5,023,NN,FM,5,"Mariposa",
47,K7WWA,145.13000,-,0.60000,Tone,103.5,103.5,023,NN,Auto,5,"Willits, Laughlin Ridge",
48,WD6AWP,145.14000,-,0.60000,Tone,110.9,88.5,023,NN,FM,5,"Huntington Beach",
49,WD6AWP,145.14000,-,0.60000,Tone,110.9,88.5,023,NN,FM,5,"Lake Forest, Santiago Peak",
50,W6AB,145.14000,-,0.60000,Tone,131.8,88.5,023,NN,FM,5,"Orcutt, Graciosa Ridge",
51,W6LIE,145.15000,-,0.60000,Tone,100.0,88.5,023,NN,FM,5,"Bakersfield, Breckenridge Mountain",
52,KG6TXA,145.15000,-,0.60000,Tone,141.3,88.5,023,NN,FM,5,"Copperopolis",
53,W6STA,145.15000,-,0.60000,Tone,107.2,88.5,023,NN,FM,5,"Redding",
54,W6PW,145.15000,-,0.60000,DTCS,88.5,88.5,664,NN,Auto,5,"San Francisco, Sutro Tower",
55,KI6QCU,145.15000,-,0.60000,Tone,103.5,88.5,023,NN,FM,5,"Seigler",
56,N6ICW,145.15000,-,0.60000,Tone,123.0,88.5,023,NN,FM,5,"South Lake Tahoe",
57,KA6EEK,145.16000,-,0.60000,Tone,100.0,88.5,023,NN,FM,5,"Easter Hill",
58,KA6EEK,145.16000,-,0.60000,Tone,100.0,88.5,023,NN,FM,5,"Irvine,  Signal Peak",
59,KA6EEK,145.16000,-,0.60000,Tone,136.5,88.5,023,NN,FM,5,"Lake Forest, Santiago Peak",
60,K6TZ,145.16000,-,0.60000,Tone,127.3,156.7,023,NN,FM,5,"Santa Ynez, Santa Ynez Peak",
61,N6FRG,145.17000,-,0.60000,Tone,100.0,88.5,023,NN,FM,5,"Angels Camp, Fowler Lookout",
62,KI6B,145.17000,-,0.60000,Tone,88.5,88.5,023,NN,FM,5,"Inverness",
63,WB6TMS,145.17000,-,0.60000,Tone,103.5,88.5,023,NN,FM,5,"Scotia, Pt Reyes",
64,W7FEH,145.17000,-,0.60000,Tone,114.8,88.5,023,NN,FM,5,"Sierra City",
65,K6SNY,145.17000,-,0.60000,Tone,94.8,88.5,023,NN,FM,5,"Sunnyvale",
66,W6UNI,145.17000,-,0.60000,Tone,131.8,88.5,023,NN,FM,5,"Watsonville",
67,KC6JTN,145.18000,-,0.60000,Tone,123.0,88.5,023,NN,FM,5,"Lucerne Valley",
68,W6MPH,145.18000,-,0.60000,Tone,156.7,88.5,023,NN,FM,5,"Pasadena",
69,K6KTA,145.18000,-,0.60000,Tone,107.2,107.2,023,NN,FM,5,"Poway, Mt Woodson",
70,W6YJO,145.18000,-,0.60000,Tone,131.8,131.8,023,NN,FM,5,"Santa Ynez, Santa Ynez Peak",
71,K6CDF,145.19000,-,0.60000,Tone,88.5,88.5,023,NN,FM,5,"Guerneville, Mt Jackson",
72,KK6AC,145.19000,-,0.60000,Tone,141.3,88.5,023,NN,FM,5,"Oak Flat, Kern Canyon",
73,K6IS,145.19000,-,0.60000,Tone,162.2,88.5,023,NN,FM,5,"Sacramento, Folsom Lake",
74,WA2IBM,145.19000,-,0.60000,Tone,151.4,88.5,023,NN,FM,5,"San Jose",
75,N6AH,145.20000,-,0.60000,Tone,103.5,88.5,023,NN,FM,5,"Arcadia",
76,KD6KTQ,145.20000,-,0.60000,Tone,114.8,88.5,023,NN,FM,5,"Juniper Hills",
77,WD6EBY,145.20000,-,0.60000,Tone,127.3,127.3,023,NN,FM,5,"Ojai, Sulphur Mountain",
78,W6DRA,145.20000,-,0.60000,Tone,131.8,88.5,023,NN,FM,5,"Palm Springs, Tram 2",
79,KI6AIT,145.20000,-,0.60000,,88.5,88.5,023,NN,FM,5,"Santa Clarita",
80,KF6JOQ,145.21000,-,0.60000,Tone,100.0,88.5,023,NN,FM,5,"Bakersfield",
81,KD6YYJ,145.21000,-,0.60000,Tone,123.0,88.5,023,NN,FM,5,"San Jose",
82,N6HU,145.21000,-,0.60000,,88.5,88.5,023,NN,FM,5,"Soledad",
83,WA6SEK,145.21000,-,0.60000,Tone,100.0,88.5,023,NN,FM,5,"Tracy, Mt Delux",
84,N6IQY,145.21000,-,0.60000,Tone,127.3,127.3,023,NN,FM,5,"Yuba City",
85,N6SLD,145.22000,-,0.60000,Tone,114.8,88.5,023,NN,FM,5,"Barstow, Flash II",
86,N6SLD,145.22000,-,0.60000,Tone,103.5,88.5,023,NN,FM,5,"Lake Forest, Santiago Peak",
87,W6FSC,145.23000,-,0.60000,Tone,141.3,88.5,023,NN,FM,5,"Fresno, Bear Mountain",
88,N6NFI,145.23000,-,0.60000,Tone,100.0,100.0,023,NN,FM,5,"Palo Alto",
89,KC6MHT,145.23000,-,0.60000,Tone,162.2,88.5,023,NN,FM,5,"Sacramento",
90,WD6EBY,145.24000,-,0.60000,Tone,127.3,127.3,023,NN,FM,5,"Chatsworth, Chatsworth Peak",
91,WA6HYQ,145.24000,-,0.60000,Tone,123.0,123.0,023,NN,FM,5,"La Mesa",
92,NK6S,145.24000,-,0.60000,Tone,91.5,88.5,023,NN,FM,5,"Sherman Oaks",
93,K6SOA,145.24000,-,0.60000,Tone,110.9,88.5,023,NN,FM,5,"Trabuco Canyon",
94,KQ6RC,145.25000,-,0.60000,,88.5,88.5,023,NN,FM,5,"Hayward",
95,KJ6CE,145.25000,-,0.60000,Tone,141.3,88.5,023,NN,FM,5,"Meadow Lakes",
96,N6NA,145.25000,-,0.60000,Tone,162.2,88.5,023,NN,FM,5,"Sacramento",
97,N6NA,145.25000,-,0.60000,Tone,162.2,88.5,023,NN,FM,5,"Shingle Springs",
